Algorithm,Cores,time
gauss.py,1,1.979319090900507
gauss.py,1,1.906212114183054
gauss.py,1,1.896933745468071
gauss.py,1,2.066507429058455
gauss.py,1,2.203780894196627
gauss.py,1,2.3822646855844116
gauss.py,1,1.9808323682050837
gauss.py,1,1.925667129079761
gauss.py,1,1.9563079153927738
gauss.py,1,1.8875810676939118
gauss.py,1,1.8701709888400941
gauss.py,1,2.029710486157782
gauss.py,1,1.9887267820112982
gauss.py,1,2.4996771045577724
gauss.py,1,2.9984489523449014
gauss.py,1,2.28090959215001
gauss.py,1,2.0258644791612355
gauss.py,1,2.42786992055499
gauss.py,1,2.6542259890392117
gauss.py,1,2.207738980602869
gauss.py,1,2.258593062654029
gauss.py,1,1.8114807906976509
gauss.py,1,1.6694634516434803
gauss.py,1,1.6694322500495744
gauss.py,1,1.7961246799270683
gauss.py,1,2.117037178751879
gauss.py,1,2.2671209509260493
gauss.py,1,2.1496765092642107
gauss.py,1,2.3593758531685864
gauss.py,1,1.7848403771615864
gauss.py,1,2.0409627662347845
gauss.py,1,1.81419409772586
gauss.py,1,1.9690283125726324
gauss.py,1,1.9048076319098612
gauss.py,1,2.0511734878414387
gauss.py,1,1.7740873225871212
gauss.py,1,2.3113960126826356
gauss.py,1,2.4141440930661417
gauss.py,1,1.8990969191299882
gauss.py,1,2.516333008043034
gauss.py,2,1.6740053362936607
gauss.py,2,1.540581573077631
gauss.py,2,1.5020430885800948
gauss.py,2,1.4876201517957526
gauss.py,2,1.4859525087107812
gauss.py,2,1.4499109728205326
gauss.py,2,1.5681563922418036
gauss.py,2,1.4732202056595582
gauss.py,2,1.5300510351334111
gauss.py,2,1.4482938270520265
gauss.py,2,1.5046944029677718
gauss.py,2,1.5417200207080128
gauss.py,2,1.4974355163637938
gauss.py,2,1.4699465015828537
gauss.py,2,1.457253200524022
gauss.py,2,1.4841814077091726
gauss.py,2,1.4854643679850312
gauss.py,2,1.7228481471795618
gauss.py,2,1.7097303402246524
gauss.py,2,1.599388366649933
gauss.py,2,1.558443253948539
gauss.py,2,1.4601286737310915
gauss.py,2,1.5415619600020136
gauss.py,2,1.6367670550580868
gauss.py,2,1.5116260833829784
gauss.py,2,1.5097392080460565
gauss.py,2,1.7650363970698493
gauss.py,2,1.5369285233065568
gauss.py,2,1.5878544511331825
gauss.py,2,1.568093989054006
gauss.py,2,1.7241003164087942
gauss.py,2,1.8397399921913973
gauss.py,2,1.6520578888098498
gauss.py,2,1.7713247498843145
gauss.py,2,1.7876296354381225
gauss.py,2,1.5383038567222798
gauss.py,2,1.5122685898891177
gauss.py,2,1.473565475929007
gauss.py,2,1.4589811940603852
gauss.py,2,1.6407797442536776
gauss.py,3,2.0665057868692998
gauss.py,3,1.7074357914304699
gauss.py,3,4.743208008299632
gauss.py,3,1.7785491505160849
gauss.py,3,1.8045031289861697
gauss.py,3,1.8059125378267993
gauss.py,3,1.6759698050680356
