Algorithm,Cores,N(b),Integration_step,time
gauss.py,8,1.0,5e-06,0.5584658831357956
gauss.py,8,1.0,5e-06,0.4906817190349102
gauss.py,8,1.0,5e-06,0.49755325447767973
gauss.py,8,1.0,5e-06,0.535075687803328
gauss.py,8,1.0,5e-06,0.47292621061205864
gauss.py,8,1.0,5e-06,0.4853706192225218
gauss.py,8,1.0,5e-06,0.45770430844277143
gauss.py,8,1.0,5e-06,0.5018133101984859
gauss.py,8,1.0,5e-06,0.453631023876369
gauss.py,8,1.0,5e-06,0.4864309160038829
gauss.py,8,1.0,5e-06,0.5106567749753594
gauss.py,8,1.0,5e-06,0.504515279084444
gauss.py,8,1.0,5e-06,0.5185111295431852
gauss.py,8,1.0,5e-06,0.4777721678838134
gauss.py,8,1.0,5e-06,0.5037713143974543
gauss.py,8,1.0,5e-06,30.317378151230514
gauss.py,8,1.0,5e-06,0.5032641002908349
gauss.py,8,1.0,5e-06,0.49715221486985683
gauss.py,8,1.0,5e-06,0.5062948353588581
gauss.py,8,1.0,5e-06,0.48978198505938053
gauss.py,8,1.0,5e-06,0.4906178582459688
gauss.py,8,1.0,5e-06,0.5504266787320375
gauss.py,8,1.0,5e-06,0.44749997183680534
gauss.py,8,1.0,5e-06,0.4711181381717324
gauss.py,8,1.0,5e-06,0.4578577857464552
gauss.py,8,1.0,5e-06,0.4603750156238675
gauss.py,8,1.0,5e-06,0.4674047352746129
gauss.py,8,1.0,5e-06,0.47131315153092146
gauss.py,8,1.0,5e-06,0.5304697956889868
gauss.py,8,1.0,5e-06,0.4862518971785903
gauss.py,8,1.0,5e-06,0.48602306097745895
gauss.py,8,1.0,5e-06,0.4883521068841219
gauss.py,8,1.0,5e-06,0.4790418641641736
gauss.py,8,1.0,5e-06,0.5304754814133048
gauss.py,8,1.0,5e-06,0.4776366474106908
gauss.py,8,1.0,5e-06,0.4928765455260873
gauss.py,8,1.0,5e-06,0.4617835320532322
gauss.py,8,1.0,5e-06,0.48232830967754126
gauss.py,8,1.0,5e-06,0.4693381628021598
gauss.py,8,1.0,5e-06,0.4933529179543257
gauss.py,8,1.2307692307692308,5e-06,0.5350414905697107
gauss.py,8,1.2307692307692308,5e-06,0.506731528788805
gauss.py,8,1.2307692307692308,5e-06,0.46447024680674076
gauss.py,8,1.2307692307692308,5e-06,0.46334678307175636
gauss.py,8,1.2307692307692308,5e-06,0.5455132499337196
gauss.py,8,1.2307692307692308,5e-06,0.4791884031146765
gauss.py,8,1.2307692307692308,5e-06,0.4852695735171437
gauss.py,8,1.2307692307692308,5e-06,0.5051454892382026
gauss.py,8,1.2307692307692308,5e-06,0.533823405392468
gauss.py,8,1.2307692307692308,5e-06,0.5209240661934018
gauss.py,8,1.2307692307692308,5e-06,0.4865304892882705
gauss.py,8,1.2307692307692308,5e-06,0.48431897442787886
gauss.py,8,1.2307692307692308,5e-06,0.5471944594755769
gauss.py,8,1.2307692307692308,5e-06,0.4929873663932085
gauss.py,8,1.2307692307692308,5e-06,0.5077123641967773
gauss.py,8,1.2307692307692308,5e-06,0.5573810487985611
gauss.py,8,1.2307692307692308,5e-06,0.47262347396463156
gauss.py,8,1.2307692307692308,5e-06,0.5347596630454063
gauss.py,8,1.2307692307692308,5e-06,0.5150760700926185
gauss.py,8,1.2307692307692308,5e-06,0.5510647399351001
gauss.py,8,1.2307692307692308,5e-06,0.5006349422037601
gauss.py,8,1.2307692307692308,5e-06,0.5555284349247813
gauss.py,8,1.2307692307692308,5e-06,0.552254406735301
gauss.py,8,1.2307692307692308,5e-06,0.5487144980579615
gauss.py,8,1.2307692307692308,5e-06,0.456722866743803
gauss.py,8,1.2307692307692308,5e-06,0.5018848422914743
gauss.py,8,1.2307692307692308,5e-06,0.5182559583336115
gauss.py,8,1.2307692307692308,5e-06,0.4832199979573488
gauss.py,8,1.2307692307692308,5e-06,0.4891739245504141
gauss.py,8,1.2307692307692308,5e-06,0.5237763617187738
gauss.py,8,1.2307692307692308,5e-06,0.48878237698227167
gauss.py,8,1.2307692307692308,5e-06,0.5256908414885402
gauss.py,8,1.2307692307692308,5e-06,0.5232819998636842
gauss.py,8,1.2307692307692308,5e-06,0.507688001729548
gauss.py,8,1.2307692307692308,5e-06,0.5075380438938737
gauss.py,8,1.2307692307692308,5e-06,0.4497302398085594
gauss.py,8,1.2307692307692308,5e-06,0.520492753945291
gauss.py,8,1.2307692307692308,5e-06,0.5099211698397994
gauss.py,8,1.2307692307692308,5e-06,0.5455757202580571
gauss.py,8,1.2307692307692308,5e-06,0.518593973480165
gauss.py,8,1.4615384615384617,5e-06,0.5596741661429405
gauss.py,8,1.4615384615384617,5e-06,0.5585877737030387
gauss.py,8,1.4615384615384617,5e-06,0.5013623349368572
gauss.py,8,1.4615384615384617,5e-06,0.5713956458494067
gauss.py,8,1.4615384615384617,5e-06,0.49345830362290144
gauss.py,8,1.4615384615384617,5e-06,0.5080934781581163
gauss.py,8,1.4615384615384617,5e-06,0.5020009018480778
gauss.py,8,1.4615384615384617,5e-06,0.5037546548992395
gauss.py,8,1.4615384615384617,5e-06,0.5201736027374864
