Algorithm,Cores,AVG_time
gauss.py,1,0.23310051747994293
gauss.py,2,0.2968661384400184
gauss.py,3,0.36400909179999874
gauss.py,4,0.6347621579201222
gauss.py,5,0.7641768920000322
gauss.py,6,0.862219722000009
gauss.py,7,1.037019730440079
gauss.py,8,1.1168414781198954
rectangular.py,1,0.22327413296014129
rectangular.py,2,0.2895512309999322
rectangular.py,3,0.3570964820800873
rectangular.py,4,0.537678091560083
rectangular.py,5,0.6324525318802625
rectangular.py,6,0.7525595693998912
rectangular.py,7,0.8745827858003031
rectangular.py,8,0.9973721293600829
simpson.py,1,0.24724612816004082
simpson.py,2,0.30863756408005427
simpson.py,3,0.371754706919819
simpson.py,4,0.5684584758398705
simpson.py,5,0.6930127031601296
simpson.py,6,0.9110121909600275
simpson.py,7,1.0547730839998257
simpson.py,8,1.1522115875600867
trapesoidal.py,1,0.26120380164007656
trapesoidal.py,2,0.3114640605198656
trapesoidal.py,3,0.3988164619998861
trapesoidal.py,4,0.5754135655600839
trapesoidal.py,5,0.6886539641999115
trapesoidal.py,6,0.8188164479601255
trapesoidal.py,7,0.9455832602798909
trapesoidal.py,8,1.0609883503201853
