Algorithm,Cores,AVG_time
gauss.py,1,0.48154107920825484
gauss.py,2,0.4840640879049897
gauss.py,3,0.45123289607465267
gauss.py,4,0.4626714660972357
gauss.py,5,0.4576980284228921
gauss.py,6,0.44487443678081035
gauss.py,7,0.4517045029625297
gauss.py,8,0.4542908767610788
gauss.py,9,0.5034246271848679
gauss.py,10,0.5105759520828724
gauss.py,11,0.5632304480671882
gauss.py,12,0.5757993490621448
gauss.py,13,0.6059064195677638
gauss.py,14,0.636498938947916
gauss.py,15,0.6574213793873787
gauss.py,16,0.6820139761641622
gauss.py,17,0.7209883414581418
gauss.py,18,0.7669704432040453
gauss.py,19,0.7865184243768454
gauss.py,20,0.803694192878902
gauss.py,21,0.8209782525151968
gauss.py,22,0.844918048940599
gauss.py,23,0.8607328671589494
gauss.py,24,0.900589923299849
gauss.py,25,0.9879020616412163
gauss.py,26,0.9471880430728197
gauss.py,27,0.9698240499198437
gauss.py,28,0.9785676503553986
gauss.py,29,1.0014970864728092
gauss.py,30,1.0366840358451008
gauss.py,31,1.0497619154304265
gauss.py,32,1.1147434427961707
gauss.py,33,1.1554836471751333
gauss.py,34,1.1693804181367158
gauss.py,35,1.2012091591581702
gauss.py,36,1.205459195189178
gauss.py,37,1.250100256316364
gauss.py,38,1.297753162793815
gauss.py,39,4.8778083666414025
gauss.py,40,1.3032692826911807
gauss.py,41,1.3994822336360813
gauss.py,42,1.4052947528660298
gauss.py,43,1.4284207512810827
gauss.py,44,1.4652655409276485
gauss.py,45,1.4689743976294993
gauss.py,46,1.498372494727373
gauss.py,47,1.5261783364787698
gauss.py,48,1.5283055955171585
gauss.py,49,1.5504541662335396
rectangular.py,1,0.46860821306705475
rectangular.py,2,0.4707140976190567
rectangular.py,3,0.45485154416412116
rectangular.py,4,0.43506636753678324
rectangular.py,5,0.4523418231680989
rectangular.py,6,0.44246460497379303
rectangular.py,7,0.4506816762685776
rectangular.py,8,0.4443656109273434
rectangular.py,9,0.4847620937600732
rectangular.py,10,0.5263214217498898
rectangular.py,11,0.5650582373887301
rectangular.py,12,0.5864285087585449
rectangular.py,13,0.6058309787884355
rectangular.py,14,0.6306934602931142
rectangular.py,15,0.6474210248142481
rectangular.py,16,0.6791451137885451
rectangular.py,17,0.7468741799518466
rectangular.py,18,0.7698713558912277
rectangular.py,19,0.7763851231709122
rectangular.py,20,0.8153064965829253
rectangular.py,21,0.8219861921668052
rectangular.py,22,0.8390253442525863
rectangular.py,23,0.8659244901686907
rectangular.py,24,0.8963680399954319
rectangular.py,25,0.966674747094512
rectangular.py,26,0.9381947923824191
rectangular.py,27,0.9765842708572745
rectangular.py,28,0.9797800664231181
rectangular.py,29,1.0232301239296795
rectangular.py,30,1.0226376018300654
rectangular.py,31,1.0833321492001415
rectangular.py,32,1.07239037938416
rectangular.py,33,1.1242742006108164
rectangular.py,34,1.185532638579607
rectangular.py,35,1.204738332554698
rectangular.py,36,1.2406694120541215
rectangular.py,37,1.2679573609679937
rectangular.py,38,1.2824493100494145
rectangular.py,39,1.3403513399139046
rectangular.py,40,1.382759517095983
rectangular.py,41,1.3717296212539076
rectangular.py,42,1.4047448284178972
rectangular.py,43,1.4007743037492038
rectangular.py,44,1.4468231541663408
rectangular.py,45,1.4698207526654006
rectangular.py,46,1.5278361174464226
rectangular.py,47,1.5244292974844575
rectangular.py,48,1.5509535084292292
rectangular.py,49,1.5728714391961693
simpson.py,1,0.49034624714404346
simpson.py,2,0.4818883603066206
simpson.py,3,0.43883160434663293
simpson.py,4,0.4323810779303312
simpson.py,5,0.4584184240549803
simpson.py,6,0.45127752095460893
simpson.py,7,0.4623812146484852
simpson.py,8,0.45629432536661624
simpson.py,9,0.4926176080480218
simpson.py,10,0.5343306731805205
simpson.py,11,0.5729560798034072
simpson.py,12,0.5867040337249637
simpson.py,13,0.628698731586337
simpson.py,14,0.6408075519278645
simpson.py,15,0.6689378898590803
simpson.py,16,0.692054666876793
simpson.py,17,0.767988694421947
simpson.py,18,0.7839011875167489
simpson.py,19,0.7866827547177673
simpson.py,20,0.8009319031238555
simpson.py,21,0.8210571992397309
simpson.py,22,0.8680887297913432
simpson.py,23,0.8768563036620617
simpson.py,24,0.9010971853137016
simpson.py,25,0.9606206605583429
simpson.py,26,0.9740584620833397
simpson.py,27,0.9587721082940698
simpson.py,28,0.9843871151655912
simpson.py,29,1.0171633953601122
simpson.py,30,1.0287720714509487
simpson.py,31,1.096732153892517
simpson.py,32,1.0930008413270116
simpson.py,33,1.1426103813946247
simpson.py,34,1.1741156128048897
simpson.py,35,1.1970161174982785
simpson.py,36,1.2267954582348466
simpson.py,37,1.2643903506174683
simpson.py,38,1.2757894959673286
simpson.py,39,1.3120389816910027
simpson.py,40,1.316741464473307
simpson.py,41,1.3697322702780366
simpson.py,42,1.3920880971103906
simpson.py,43,1.3992363371327519
simpson.py,44,1.4463202003017068
simpson.py,45,1.474303033426404
simpson.py,46,1.4843918892368675
simpson.py,47,1.5234203359484673
simpson.py,48,1.551135317981243
simpson.py,49,1.5568144390359522
trapesoidal.py,1,0.47737664476037023
trapesoidal.py,2,0.45698960933834315
trapesoidal.py,3,0.4539445161446929
trapesoidal.py,4,0.4456521013006568
trapesoidal.py,5,0.4570284878462553
trapesoidal.py,6,0.4485589284822345
trapesoidal.py,7,0.4619367768242955
trapesoidal.py,8,1.6431180420517921
trapesoidal.py,9,0.49194130919873713
trapesoidal.py,10,0.5316974936798214
trapesoidal.py,11,0.5540236727893353
trapesoidal.py,12,0.5759745405614376
